date,max_temperature,min_temperature,max_humidity,min_humidity,precipitation
2012-01-01,12.0,-2.0,100.0,54.0,0.0
2012-01-02,12.0,3.0,93.0,44.0,0.0
2012-01-03,11.0,-2.0,100.0,50.0,0.0
2012-01-04,13.0,-3.0,100.0,51.0,0.0
2012-01-05,14.0,-2.0,100.0,54.0,0.0
2012-01-06,16.0,0.0,100.0,51.0,0.0
2012-01-07,15.0,-1.0,100.0,45.0,0.0
2012-01-08,15.0,-2.0,93.0,27.0,0.0
2012-01-09,16.0,-4.0,87.0,29.0,0.0
2012-01-10,12.0,-4.0,93.0,41.0,0.0
2012-01-11,13.0,-3.0,93.0,36.0,0.0
2012-01-12,11.0,-4.0,93.0,50.0,0.0
2012-01-13,8.0,0.0,100.0,57.0,0.0
2012-01-14,10.0,-3.0,100.0,62.0,0.0
2012-01-15,4.0,-3.0,100.0,87.0,0.0
2012-01-16,6.0,2.0,100.0,70.0,0.0
2012-01-17,12.0,0.0,93.0,41.0,0.0
2012-01-18,12.0,-3.0,100.0,44.0,0.0
2012-01-19,14.0,0.0,100.0,55.0,0.0
2012-01-20,15.0,0.0,100.0,48.0,0.0
2012-01-21,15.0,0.0,100.0,48.0,0.0
2012-01-22,15.0,-1.0,100.0,48.0,0.0
2012-01-23,14.0,-1.0,100.0,44.0,0.0
2012-01-24,15.0,0.0,93.0,34.0,0.0
2012-01-25,14.0,-3.0,93.0,48.0,0.0
2012-01-26,10.0,-3.0,100.0,62.0,0.0
2012-01-27,9.0,2.0,93.0,62.0,0.0
2012-01-28,11.0,0.0,87.0,32.0,0.0
2012-01-29,9.0,2.0,65.0,32.0,0.0
2012-01-30,10.0,-4.0,86.0,30.0,0.0
2012-01-31,13.0,-4.0,93.0,35.0,0.0
2012-02-01,12.0,-4.0,93.0,47.0,0.0
2012-02-02,5.0,-2.0,93.0,33.0,0.0
2012-02-03,4.0,-2.0,55.0,21.0,0.0
2012-02-04,5.0,-3.0,56.0,36.0,0.0
2012-02-05,11.0,-1.0,75.0,47.0,0.0
2012-02-06,14.0,5.0,81.0,41.0,0.0
2012-02-07,9.0,1.0,81.0,40.0,0.0
2012-02-08,5.0,-2.0,60.0,33.0,0.0
2012-02-09,11.0,-7.0,86.0,28.0,0.0
2012-02-10,10.0,-6.0,86.0,27.0,0.0
2012-02-11,8.0,-7.0,80.0,10.0,0.0
2012-02-12,6.0,-7.0,68.0,19.0,0.0
2012-02-13,7.0,-3.0,70.0,39.0,0.0
2012-02-14,10.0,-1.0,80.0,40.0,0.0
2012-02-15,11.0,-3.0,86.0,35.0,0.0
2012-02-16,11.0,-2.0,86.0,35.0,0.0
2012-02-17,13.0,-2.0,86.0,26.0,0.0
2012-02-18,13.0,-4.0,80.0,31.0,0.0
2012-02-19,14.0,-4.0,86.0,33.0,0.0
2012-02-20,13.0,-3.0,74.0,13.0,0.0
2012-02-21,13.0,-6.0,74.0,13.0,0.0
2012-02-22,16.0,-6.0,68.0,8.0,0.0
2012-02-23,18.0,-6.0,63.0,8.0,0.0
2012-02-24,19.0,-3.0,64.0,11.0,0.0
2012-02-25,20.0,-3.0,64.0,13.0,0.0
2012-02-26,22.0,2.0,70.0,25.0,0.0
2012-02-27,19.0,2.0,75.0,23.0,0.0
2012-02-28,20.0,1.0,81.0,26.0,0.0
2012-02-29,21.0,2.0,81.0,23.0,0.0
2012-03-01,20.0,2.0,81.0,24.0,0.0
2012-03-02,13.0,3.0,87.0,54.0,0.0
2012-03-03,15.0,3.0,100.0,36.0,0.0
2012-03-04,16.0,4.0,87.0,52.0,0.0
